/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine — Batch Optimizer
  Batches      : 10
  Trials/batch : 1000  (total: 10000)
  Startup/batch: 80
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Top components: nuclear_convergence=6.128  pu_gate=5.600  au_priority=4.000  serial_horizon=4.000  pop_ratio=2.000  colonial_extraction=1.740  civ_gap=0.898  lattice_latitude=0.740

Batch   Trial     Total      Mean      Std     GBest
    1     162   23.0922   22.1854   3.0226   21.5240
    1     163   24.0423   23.2777   2.5486   21.5240
    1     164   22.9265   21.9706   3.1861   21.5240
    1     165   22.4961   21.6845   2.7054   21.5240
    1     166   26.8954   26.0703   2.7504   21.5240
    1     167   21.7680   20.8693   2.9959   21.5240
    1     168   22.5419   21.7341   2.6928   21.5240
    1     169   23.3729   22.5205   2.8413   21.5240
    1     170   21.9604   21.0953   2.8838   21.5240
    1     171   22.0298   21.1776   2.8406   21.5240
    1     172   22.9130   21.9577   3.1843   21.5240
    1     173   22.8712   21.8987   3.2414   21.5240
    1     174   23.2067   22.2984   3.0277   21.5240
    1     175   22.7274   21.9362   2.6375   21.5240
    1     176   23.0058   22.2440   2.5394   21.5240
    1     177   21.6529   20.7446   3.0276   21.5240
    1     178   22.0408   21.1853   2.8519   21.5240
    1     179   21.7395   20.8404   2.9969   21.5240
    1     180   25.1847   24.6796   1.6836   21.5240
    1     181   23.1389   22.2173   3.0719   21.5240
    1     182   22.2851   21.4743   2.7027   21.5240
    1     183   21.7226   20.8200   3.0087   21.5240
    1     184   22.7227   21.9334   2.6311   21.5240
    1     185   27.5921   26.8429   2.4973   21.5240
    1     186   21.5975   20.6806   3.0565   21.5240
    1     187   26.2228   25.3165   3.0210   21.5240
    1     188   23.5940   22.8935   2.3351   21.5240
    1     189   23.7479   22.9333   2.7152   21.5240
    1     190   23.8345   23.0215   2.7100   21.5240
    1     191   24.4942   23.8225   2.2390   21.5240
    1     192   22.6206   21.8475   2.5771   21.5240
    1     193   22.7590   21.7745   3.2816   21.5240
    1     194   27.6810   26.7396   3.1378   21.5240
    1     195   22.1590   21.3218   2.7906   21.5240
    1     196   24.2883   23.5654   2.4095   21.5240
    1     197   22.4535   21.6395   2.7133   21.5240
    1     198   23.2169   22.3213   2.9853   21.5240
    1     199   28.4342   27.6228   2.7045   21.5240
    1     200   22.3813   21.5588   2.7417   21.5240
    1     201   22.6025   21.8066   2.6530   21.5240
    1     202   24.0013   23.2339   2.5581   21.5240
    1     203   21.5255   20.5913   3.1139   21.5240
    1     204   21.8803   21.0000   2.9343   21.5240
    1     205   21.7357   20.8362   2.9985   21.5240
    1     206   22.3336   21.5074   2.7539   21.5240
    1     207   23.3713   22.4915   2.9325   21.5240
    1     208   24.7118   24.0854   2.0879   21.5240
    1     209   21.6626   20.7525   3.0338   21.5240
    1     210   21.7843   20.8894   2.9828   21.5240
    1     211   24.3208   23.6944   2.0882   21.5240
    1     212   21.7623   20.8582   3.0136   21.5240
    1     213   21.7553   20.8558   2.9982   21.5240
    1     214   22.9143   21.9836   3.1023   21.5240
    1     215   22.1772   21.3310   2.8207   21.5240
    1     216   24.0698   23.4220   2.1595   21.5240
    1     217   21.7207   20.8234   2.9913   21.5240
    1     218   22.8153   21.8530   3.2077   21.5240
    1     219   22.6369   21.8370   2.6662   21.5240
    1     220   23.2312   22.3415   2.9656   21.5240
    1     221   21.7383   20.8320   3.0209   21.5240
    1     222   22.9048   22.1281   2.5891   21.5240
    1     223   22.1990   21.3531   2.8198   21.5240
    1     224   22.7948   21.8253   3.2314   21.5240
    1     225   21.8689   20.9995   2.8982   21.5240
    1     226   21.9662   21.0937   2.9083   21.5240
    1     227   24.3035   23.5912   2.3745   21.5240
    1     228   22.9443   22.1763   2.5602   21.5240
    1     229   21.5415   20.6147   3.0893   21.5240
    1     230   22.9537   22.2031   2.5020   21.5240
    1     231   21.6171   20.6963   3.0692   21.5240
    1     232   22.1156   21.2684   2.8241   21.5240
    1     233   24.3249   23.6082   2.3892   21.5240
    1     234   25.2539   24.7582   1.6522   21.5240
    1     235   22.8368   22.0668   2.5667   21.5240
    1     236   27.7134   26.9721   2.4712   21.5240
    1     237   23.7884   23.0915   2.3227   21.5240
    1     238   22.1588   21.3175   2.8043   21.5240
    1     239   23.0326   22.3003   2.4409   21.5240
    1     240   21.5461   20.6174   3.0956   21.5240
    1     241   23.9891   23.2226   2.5550   21.5240
    1     242   23.2165   22.3116   3.0165   21.5240
    1     243   21.8195   20.9222   2.9908   21.5240
    1     244   21.9923   21.1199   2.9081   21.5240
    1     245   24.1147   23.3867   2.4265   21.5240
    1     246   22.2501   21.4260   2.7470   21.5240
    1     247   24.0357   23.2694   2.5542   21.5240
    1     248   21.9114   21.0304   2.9369   21.5240
    1     249   23.9874   23.2012   2.6205   21.5240
    1     250   24.3864   23.6713   2.3837   21.5240
    1     251   23.0250   22.0743   3.1690   21.5240
    1     252   22.0786   21.2407   2.7932   21.5240
    1     253   21.7867   20.8892   2.9917   21.5240
    1     254   23.0812   22.1405   3.1356   21.5240
    1     255   28.3814   27.5701   2.7042   21.5240
    1     256   23.2264   22.3235   3.0097   21.5240
    1     257   26.7261   25.8917   2.7815   21.5240
    1     258   21.5094   20.5761   3.1112   21.5094 **
    1     259   22.8431   21.8667   3.2545   21.5094
    1     260   23.5912   22.8045   2.6222   21.5094
    1     261   24.3374   23.6174   2.4001   21.5094
    1     262   23.6815   22.8598   2.7390   21.5094
    1     263   23.8045   22.9899   2.7154   21.5094
    1     264   22.5029   21.7226   2.6008   21.5094
    1     265   22.7167   21.9821   2.4487   21.5094
    1     266   22.0272   21.1717   2.8518   21.5094
    1     267   21.5273   20.5960   3.1041   21.5094
    1     268   21.6844   20.7795   3.0166   21.5094
    1     269   23.2424   22.3454   2.9898   21.5094
    1     270   21.8305   20.9427   2.9592   21.5094
    1     271   21.7740   20.8805   2.9786   21.5094
    1     272   21.6988   20.7909   3.0262   21.5094
    1     273   21.8513   20.9672   2.9470   21.5094
    1     274   22.6005   21.7938   2.6889   21.5094
    1     275   23.4308   22.5853   2.8185   21.5094
