/Users/terrace/Library/Python/3.9/lib/python/site-packages/optuna/_experimental.py:33: ExperimentalWarning: Argument ``multivariate`` is an experimental feature. The interface can change in the future.
  optuna_warn(
Aeolia History Engine Optimizer (Optuna TPE)
  Trials       : 500
  Seeds        : [17, 42, 97, 137, 256]
  Params       : 33
  Variance λ   : 0.3
  Results dir  : /Users/terrace/Labs/Aeolia/aeolia-godot/optimization/results

Loading worlds...
  seed=17 [godot]: 42 archs, 151 edges
  seed=42 [godot]: 42 archs, 150 edges
  seed=97 [godot]: 42 archs, 142 edges
  seed=137 [godot]: 42 archs, 151 edges
  seed=256 [godot]: 42 archs, 143 edges

Evaluating default params (baseline)...
  Baseline total=27.9498  mean=27.2992  std=2.1689
  Components: lattice_density=0.016  reach_spread=0.395  lattice_latitude=0.740  reach_latitude=0.683  lattice_shelf=0.064  civ_gap=0.898  peak_asymmetry=0.000  edge_topology=0.027  climate_crop=0.337  yield_asymmetry=0.001  industrial_convergence=0.000  nav_weapons_coupling=0.000  security_dilemma=0.000  nuclear_emergence=0.000  pu_gate=5.600  supply_chain=0.000  cu_tech_lead=0.000  au_priority=4.000  serial_horizon=4.000  maritime_asymmetry=0.372  colonial_extraction=1.740  nuclear_convergence=6.128  df_timing=0.196  sov_ordering=0.007  sov_recovery=0.000  pop_ratio=2.000  pop_inequality=0.014  epi_correlation=0.081

Trial     Total      Mean      Std      Best
  178   30.7265   30.2234   1.6769   24.3932
  179   29.3986   29.0195   1.2640   24.3932
  180   24.4275   23.8979   1.7654   24.3932
  181   26.4959   25.9877   1.6940   24.3932
  182   26.1003   25.6386   1.5392   24.3932
  183   26.0531   25.5716   1.6053   24.3932
  184   24.4775   23.9463   1.7706   24.3932
  185   26.0659   25.8413   0.7485   24.3932
  186   25.1411   24.8053   1.1192   24.3932
  187   24.6772   24.1627   1.7150   24.3932
  188   25.0082   24.6936   1.0488   24.3932
  189   25.0478   24.6745   1.2444   24.3932
  190   26.3492   25.9364   1.3760   24.3932
  191   27.1262   26.6001   1.7537   24.3932
  192   24.8418   24.4135   1.4275   24.3932
  193   26.4029   25.9203   1.6086   24.3932
  194   24.4132   23.8522   1.8702   24.3932
  195   26.4630   25.9256   1.7913   24.3932
  196   25.2840   24.9784   1.0185   24.3932
  197   25.4051   25.0998   1.0176   24.3932
  198   24.7863   24.3515   1.4493   24.3932
  199   25.0291   24.5566   1.5752   24.3932
  200   27.4784   27.2791   0.6645   24.3932
  201   26.3119   25.9001   1.3726   24.3932
  202   25.8587   25.3517   1.6900   24.3932
  203   25.8725   25.4009   1.5722   24.3932
  204   25.1583   24.8358   1.0749   24.3932
  205   25.6892   25.1682   1.7366   24.3932
  206   26.3617   25.8583   1.6780   24.3932
  207   24.9472   24.5914   1.1861   24.3932
  208   26.8734   26.5080   1.2180   24.3932
  209   24.9322   24.5736   1.1951   24.3932
  210   26.6291   26.0352   1.9795   24.3932
  211   26.8454   26.4887   1.1889   24.3932
  212   26.0140   25.5682   1.4861   24.3932
  213   26.8048   26.4526   1.1740   24.3932
  214   27.7344   27.1356   1.9959   24.3932
  215   24.9904   24.5932   1.3239   24.3932
  216   25.6322   25.3417   0.9686   24.3932
  217   27.3326   26.8010   1.7721   24.3932
  218   24.6809   24.1659   1.7169   24.3932
  219   24.2788   23.6929   1.9532   24.2788 *
  220   29.4099   29.0369   1.2436   24.2788
  221   25.2723   24.9624   1.0329   24.2788
  222   26.2225   25.7556   1.5564   24.2788
  223   30.2208   29.7045   1.7212   24.2788
  224   25.1727   24.7647   1.3601   24.2788
  225   26.6197   25.9728   2.1563   24.2788
  226   26.0165   25.5474   1.5634   24.2788
  227   27.0017   26.5062   1.6516   24.2788
  228   26.3781   25.9644   1.3791   24.2788
  229   26.3291   25.8316   1.6583   24.2788
  230   29.1845   28.7162   1.5611   24.2788
  231   26.0667   25.5554   1.7046   24.2788
  232   24.6329   24.1471   1.6192   24.2788
  233   27.1957   26.6407   1.8498   24.2788
  234   25.1225   24.7770   1.1518   24.2788
  235   25.0368   24.6814   1.1849   24.2788
  236   31.6291   31.0905   1.7953   24.2788
  237   24.7008   24.1953   1.6851   24.2788
  238   24.6258   24.1224   1.6779   24.2788
